"guid","descr"
"C4C7075C51A45EBBB4314219235E1C30","Gezicht op de wijk Lunetten te Utrecht, uit het westen, met op de voorgrond het Inundatiekanaal en de Lunettenbaan (rechts) en op de achtergrond het kunstwerk Tenttoren en de Stelviobaan met daarachter de huizen aan de Karawanken."
"C52D403603575F9598E3243DCB94720B","Afbeelding van de onthulling van het kunstwerk ""Het Verzonken Schip"" van Karin Daan in het kantorenpark Rijnsweerd (Euclideslaan) te Utrecht, tijdens de openingsact met het vlammenspuwende Dante-orgel van kunstenaar Erik Hobijn, met rechts enkele genodigden, waaronder burgemeester mr. I.W. Opstelten."
"C68DE7EC6E66517DB22A3F082FE36CC4","Gezicht in de Joseph Haydnlaan te Utrecht; met in het middenplantsoen het kunstwerk De Drie Gestalten."
"C801812CC1E95A60A52152D79FAB725E","Afbeelding van het door Jan Brom in 1916 vervaardigde kunstwerk, voorstellende de kanunnik Hugo Wstinc, de schrijver van het Rechtboek van de Domkerk (midden 14e eeuw), op de fontein in de pandhof van de kruisgang van de Domkerk (Domplein) te Utrecht."
"CA62CAFAFA3650CAA85AD60E9760D5E0","Gezicht over het omgevingskunstwerk ""Het verzonken schip"" van Karin Daan, in kantorenpark Rijnsweerd (Euclideslaan) te Utrecht."
"CB19E3CC64F056FB9004709514915A15","Afbeelding van het plaatsen van het kunstwerk bij de ingang van de Jaarbeurs (Croeselaan) te Utrecht."
"CB4A03272B545A2ABD2FF4C191A9CE5D","Afbeelding van een kunstwerk in de hal van het kantoorgebouw van het Gasbedrijf Centraal Nederland (G.C.N., Atoomweg 50) te Utrecht."
"CC96E15EE5095EA9BE9B5A6919C44761","Gezicht op het Beatrixgebouw van de Jaarbeurs (Croeselaan) te Utrecht, met op de voorgrond het kunstwerk op het Veemarktplein."
"CCD2546E9C4350A2BCF24C817339C741","Afbeelding van het kunstwerk ""Waterstenen"" in het Wilhelminapark te Utrecht. Opmerking: naam kunstenaar: G. Howeler.<ZR>datum plaatsing: ?<ZR>materiaal: zwerfkeien.<ZR>literatuur: Stadsblad Weekend, 28 november 1986, p. 3."
"CDCE5409D89756CFA084A6B85097E755","Afbeelding van het door Harry Op de Laak ontworpen kunstwerk bij het verpleeghuis Albert van Koningsbruggen (Beneluxlaan 924) te Utrecht. Opmerking: Literatuur: ""Verpleeghuis Albert van Koningsbruggen aan de Beneluxlaan"", door ir. H. Dam en ir. B.F.A. Dirkse, in: De Timmerwerf, april 1972, blz. 1-12 (bibl. HUA XIX F 12)."
"CF13DB2F39AC514BBED4D2022AFCFB62","Afbeelding van twee replica's van het door Joop Hekman gemaakte standbeeld van de politicus Pieter Jelles Troelstra (1860-1930), dat op de hoek van de Draaiweg en de Troelstralaan staat, op de nieuw aangelegde rotonde in de Talmalaan te Utrecht. <ZR><ZR>N.B. Het plaatsen van replica's van het standbeeld van Hekman in de vorm van een kunstwerk, is een initiatief van de Staatslieden Art Community. Deze replica's zijn gemaakt door de kunstenaar Paul Balk."
"D250EB3834085FE2834026ACBEC680CB","Afbeelding van het rood geschilderde stalen kunstwerk 'Eerste stap', aan de Weg tot de Wetenschap, bij de Wim Sonneveldlaan te Utrecht. Het kunstwerk is gemaakt door Helma van Rens en geplaatst in 1988."
"D28C8CF199E3597C8FDEA36CAFD451AB","Gezicht op de muurkunstwerken van buurtbewoonster en kunstenares Esther Derckx aan de Floresstraat te Utrecht. Op de voorgrond links het elektriciteitshuisje met het project 'Vogelhuisje' uit 2011 en op de zijgevel van het pand Lombokstraat 81 het project 'Toren van dromen', een muurkunstwerk gemaakt van baksteenstrips en geprinte tegels uit 2009.<ZR><ZR>N.B. In 2010 heeft Merel Maissan, fotograaf uit de wijk Lombok, 122 paar ogen van buurtbewoners gefotografeerd. Deze ogen zijn aangebracht op de nieuwe tegels van het elektriciteitshuisje in de vorm van vogels."
"D2DD7B77EE7F59FAAA665BA5DA78B6D7","Afbeelding van de plastiek ""Gehender"" (de gaande man), met een deel van de sokkel, op de Mariaplaats te Utrecht, uit het zuidoosten; op de achtergrond een gedeelte van de huizen nrs. 14-17. Opmerking: Het kunstwerk stelt een geabstraheerde, lopende, menselijke persoon voor.<ZR><ZR>naam kunstenaar:  F. Wotruba<ZR>datum plaatsing: 18-10-1977 (voltooid 1952)<ZR>gebruikt materiaal: plastiek en voetplaat - brons; sokkel - gepolitoerd kalksteen<ZR>afmetingen: plastiek - ca. 152 x 62 x 42; voetplaat - 6 x 61 x 42; sokkel - 56 x 69 x 52<ZR>literatuurgegevens: zie de Timmerwerf 31e jaargang, nr. 1, febr. 1978, blz. 16<ZR>Gegoten door A. Zötte, Wenen"
"D55E46FE26C059FA92BD68BF851A62AC","Gezicht in het Park Oog in Al te Utrecht met rechts het kunstwerk Suzanna."
"D59D6C0D75AA559FAE597C52E8C0A3A3","Detail van een groot doek, gespannen op de zijgevel van het flatgebouw op de hoek van de Draaiweg en de Goeman Borgesiuslaan te Utrecht met centraal een replica van het door Joop Hekman gemaakte standbeeld van de politicus Pieter Jelles Troelstra (1860-1930), dat op de hoek van de Draaiweg en de Troelstralaan staat.<ZR><ZR>N.B. Het plaatsen van replica's van het standbeeld van Hekman in de vorm van een kunstwerk, is een initiatief van de Staatslieden Art Community."
"D5E7B8DADC4A5A85980D94AAF6AE1876","Gezicht op het door Harry Op de Laak ontworpen kunstwerk bij het Albert van Koningsbruggen Zorgcentrum (Beneluxlaan 924) te Utrecht."
"D7139B764933548DB75EFC25B0808867","Gezicht op een flatgebouw aan de Camera Obscuradreef te Utrecht, met op de voorgrond het titelloze, door David van de Kop ontworpen hardstenen kunstwerk."
"D8BFE8802A6557E7BA0291100081F696","Gezicht op het beeld Zich Oprichtende Vrouw op het Herderplein te Utrecht, uit het noordoosten met op de achtergrond de Dickenslaan, met de ingang van de La Fontainestraat; het kunstwerk stelt een vrouw voor, die zich vanuit een knielende houding opricht, met de armen boven het hoofd gevouwen. Opmerking: Fotopersbureau 't Sticht fotonummer: 4208<ZR><ZR>Het beeld werd op 25 september 1959 onthuld."
"D919E159E82F511B9C631085346D3AF4","Afbeelding van het kunstwerk Paardraam in het gebouw van het Gemeentelijk Energiebedrijf (Nicolaas Beetsstraat 3) te Utrecht."
"D9C84712830352F1916A864B59FA98BE","Gezicht op de rotonde Waalstraat-Rijnlaan te Utrecht vóór de officiële opening door wethouder J. Zwart. Op de rotonde staat het uit wilgentenen opgetrokken kunstwerk 'De Piek', van kunstenares Manette Zeelenberg."
"DACE0B0CFC0259E988DA7B86A8BECAD4","Afbeelding van een afgietsel van het Egyptische kunstwerk voorstellend Nefertite, de vrouw van de pharao Ichnaton, op een tentoonstelling in het Kunsthistorisch Instituut (Drift 25) te Utrecht, die werd gehouden vanwege het 58e lustrum (290-jarig bestaan) van de Universiteit met als thema Ichnaton. Opmerking: De afbeelding is gepubliceerd in Bibl. HUA LXXXVI D 55-71 (NIET RAADPLEEGBAAR!), Utrecht in Woord en Beeld, een geïllustreerd familieweekblad voor stad en provincie, jrg. 1926, nr. 48.<ZR>De afbeelding bevindt zich op een blad met 3 foto's.<ZR>De lustrumfeesten werden gehouden van 28 juni t/m 3 juli 1926."
"DB65708CB95758FAAC3B9A8F69D65122","Gezicht op het kunstwerk ""No. 45"" van André Volten bij de ingang van de Jaarbeurs (Croeselaan) te Utrecht."
"DBAAE783811B516D941135E5B7CB781A","Afbeelding van een kunstwerk op de overloop van het nieuwe kinderdagverblijf 'Anansi' in het voormalig schoolgebouw Alendorpstraat 7 te Utrecht.<ZR><ZR>N.B. Voorheen was hier de R.K. St.-Dominicus meisjesschool voor lager onderwijs gevestigd."
"DCDCD6C516FC54939675F80419075206","Gezicht op de ingang van de Koninklijke Nederlandse Jaarbeurs (Croeselaan) te Utrecht; rechts een onderdeel van het kunstwerk voor de ingang."
"DF751A3361C856A89452BD832BE14D9C","Interieur  van het stadhuis (Stadhuisbrug 1) te Utrecht: de door de kunstenaar A. Calder vervaardigde kunstwerk ""Siermat""."
"DF886F73075157E0816237F6FC795F71","Afbeelding van de plastiek Moeder en kind in het verhoogde plantsoen van de De Gasperilaan te Utrecht, uit het zuiden; het kunstwerk stelt een staande vrouw voor, met naast zich een jongetje (naakt), beide naar rechts kijkend, de vrouw met een handdoek over de opgeheven linker arm, de rechter hand op de linker schouder van het kind. Opmerking: naam kunstenaar: G. Bolhuis<ZR>datum plaatsing: 18 maart 1965"
"E024729298455F1FBC3174FF97E8C7CF","Gezicht op het kunstwerk naast de nieuwbouw van het Psychiatrisch Ziekenhuis Willem Arntsz Huis (Lange Nieuwstraat 119) te Utrecht."
"E0265F9370195ACFBE59C590F0FDBF11","Gezicht op de zuidwestelijke hoek van de 1e Algemene Begraafplaats Soestbergen (Gansstraat) te Utrecht met het door Eric Adema ontworpen  monument ter herdenking van alle Utrechters, die in de periode van de Utrechtse Algemene Begraafplaatsen (1830-1980) op Soestbergen of elders zijn begraven of gecremeerd; het kunstwerk stelt de doorgaande beweging van leven en dood voor; rechts het Utrechts Koperkwartet, dat voor de muzikale omlijsting van de onthulling zorgde."
"E054780B06FD522E83114708EE24FE07","Afbeelding van het door de heer v.d. Ven uit rundvet vervaardigd kunstwerk, voorstellende een stier met begeleider, op de Slagersvaktentoonstelling tijdens de opening van het Gebouw voor groenten- en vruchtenveilingen (Croeselaan) en de Veemarkthal (Croeselaan) te Utrecht. Opmerking: De afbeelding is afkomstig uit De Vee- en Vleeshandel, 1928, nr. 50.<ZR>De afbeelding bevindt zich op een blad met 6 foto's."
"E196B952C916519AA2FE06AB5F053DBA","Luchtfoto van het kunstwerk ""Het Tapijt"" op de Amerhof te Utrecht, uit het oosten; op de voorgrond de Vaartsche Rijn en de Jutfaseweg. Opmerking: naam kunstenaar: Hamid Oujaha<ZR>datum plaatsing: 1994<ZR>materiaal: baksteen in diverse kleuren<ZR>literatuur: NRC Handelsblad, 7 maart 1994. Het plein is ingericht bij een stadsvernieuwingsproject door de kunstenaar Hans van Houwelingen."
"E3558CAFEABC5B03878E3F8621363EC6","Afbeelding van een kunstwerk in een hoek van een kamer van de afdeling Culturele Zaken (Neudeflat, Vinkenburgstraat 26) te Utrecht."
"E4CD4F9B6ECB55D7AB30DED28D0EFFF0","Interieur van de Aula van de 3e Algemene Begraafplaats Tolsteeg (Opaalweg) te Utrecht: wandschildering Perpetuum Mobile boven de geopende toegangsdeur. Opmerking: Naam kunstenaar: M.C. Escher<ZR>Datum plaatsing: (aangebracht): 1958<ZR>Gebruikt materiaal: wart/wit graffito keramiek<ZR>Afmeting: diameter ca. 2,50 m.<ZR>Litteratuurgegevens: De Timmerwerf, oktober 1964, nr. 83, blz. 13<ZR><ZR>Het kunstwerk stelt een medaillon voor met witte en zwarte vissen in een wentelende beweging."
"E513909984685AEAA874C29CF51CCBFF","Gezicht op het kunstwerk ""No. 45"" van André Volten bij de ingang van de Jaarbeurs aan de Croeselaan te Utrecht."
"E56FC30573BB50B0915F148403EFEC65","Gezicht over het omgevingskunstwerk ""Het verzonken schip"" van Karin Daan, in kantorenpark Rijnsweerd (Euclideslaan) te Utrecht."
"E67B6CF86F205647867DE50E1E45CD39","Afbeelding van een groot doek gespannen op de zijgevel van het flatgebouw op de hoek van de Draaiweg en de Goeman Borgesiuslaan te Utrecht. Centraal een replica van het door Joop Hekman gemaakte standbeeld van de politicus Pieter Jelles Troelstra (1860-1930), dat op de hoek van de Draaiweg en de Troelstralaan staat.<ZR><ZR>N.B. Het plaatsen van replica's van het standbeeld van Hekman in de vorm van een kunstwerk, is een initiatief van de Staatslieden Art Community."
"E70C00D33BC55D6D981B75B2CC72F1D6","Gezicht op het kunstwerk op het plein voor de flatgebouwen aan de Camera Obscuradreef te Utrecht."
"E7C5349E94A25CA79ABCFEBB6B964F82","Afbeelding van de, door Dick Elfers in 1961 vervaardigde, wandsculptuur aan de wand van het grote binnenbad in het Zwembad Den Hommel (Kennedylaan 5) te Utrecht. Opmerking: Het in keramiek en gevat in grote stukken brons uitgevoerde kunstwerk is uitgevoerd door de Koninkljike Delfts Aardewerkfabriek De Porceleyne Fles te Delft."
"EA1B47D3890E5CE994B021CAC3499BD8","Afbeelding van het bij de Prof.dr. G. van der Leeuwschool (Troelstralaan 61) te Utrecht geplaatste kunstwerk, vervaardigd door Han Hulsbergen."
"EB138EBD4EE45294A8AAFF4E60AF10DB","Afbeelding van het kunstwerk Poes op het plein voor de Prot. Chr. 2e Marnix kleuterschool (Racinelaan 15) te Utrecht. Opmerking: Naam kunstenaar: Willy Blees."
"EC3417B261DC5E47A7E2F92459D0DF29","Afbeelding van een ijzeren paardenbit, thans berustende in het St.Eloyengasthuis (Boterstraat 22) te Utrecht. Opmerking: Lit. W. Vogelzang, Inventaris (typoscript) van kunstwerken en oudheden in het St. Eloyengasthuis, 1918, p.3. (Bibl. HUA LXVI A 180)"
"EC3B04126C8F5FBDB2C9DD7C2BADE58F","Gezicht op het kunstwerk ""No. 45"" van André Volten bij de ingang van de Jaarbeurs (Croeselaan) te Utrecht."
"EDBE428BE1895CBBB0E24E3FFE34A30C","Gezicht op het graffiti-kunstwerk op de voordeur van het pand Boterstraat 25 te Utrecht."
"EED0C55C88F25B5089B17366EF0BBF32","Afbeelding van een graffiti-kunstwerk van 'Jan is de Man' op de bouwschutting aan de noordzijde van het Vredenburg te Utrecht, met een impressie van de stad Utrecht."
"EEFC02A35B535897A7A5B5F0C8D23763","Afbeelding van het, door Suzanna Nicolas ontworpen, kunstwerk op de fontein in de vijver in het Majellapark te Utrecht; op de achtergrond de St.-Gerardus Majellakerk (Thomas à Kempisweg 1). Opmerking: Negatiefnummer 33611.<ZR>De fontein is door Bredero's Bouwbedrijf aan de gemeente Utrecht geschonken."
"EF62BA08259F5B238763ED5CFFD09601","Gezicht op het elektriciteitshuisje met een graffiti-kunstwerk, bij de Internationale School Utrecht (Notebomenlaan 400) te Utrecht."
"EFA3E3FB7DBD58A39BA3C40C424B3AE4","Afbeelding van een graffiti-kunstwerk van 'Rhino-Ramps', op de zijkant van de skate-halfpipe aan het Paardenveld te Utrecht."
"EFB782AB4B5E589CB53830E302D9CC45","Gezicht op onderdelen van het kunstwerk bij de ingang van de Koninklijke Nederlandse Jaarbeurs (Croeselaan) te Utrecht."
"F0A3127540055CD8B776B5D0F254D554","Gezicht op het beeld Zich Oprichtende Vrouw op het Herderplein te Utrecht tijdens de onthulling; het kunstwerk stelt een vrouw voor, die zich vanuit een knielende houding opricht, met de armen boven het hoofd gevouwen."
"F0B563A139C05076B15536D3F170F93A","Gezicht in de Voorstraat te Utrecht, met links de Wijde Begijnestraat en het kunstwerk ""Jacht"" van J. Sierhuis op de zijgevel van het huis Voorstraat 80."
"F0C6F53F024D5F60A1386F0018FD1255","Afbeelding van het graffiti-kunstwerk op de skate-halfpipe aan het Paardenveld te Utrecht."
"F0DEB4F3E9A95BD289DA642B01B8E371","Afbeelding van een toespraak gehouden tijdens de bijeenkomst voor de onthulling van het kunstwerk ""Het Verzonken Schip"" van Karin Daan in het kantorenpark Rijnsweerd (Euclideslaan) te Utrecht; links burgemeester mr. I.W. Opstelten."
"F164C616F06B5216A364E8CEABA5EF38","Luchtfoto van het kunstwerk ""Het Tapijt"" op de Amerhof te Utrecht, uit het westen; op de achtergrond de Jutfaseweg en de Vaartsche Rijn. Opmerking: naam kunstenaar: Hamid Oujaha<ZR>datum plaatsing: 1994<ZR>materiaal: baksteen in diverse kleuren<ZR>literatuur: NRC Handelsblad, 7 maart 1994. Het plein is ingericht bij een stadsvernieuwingsproject door de kunstenaar Hans van Houwelingen."
"F1CBC3D1D4E9517C883E709BF9AB384F","Afbeelding van het kunstwerk Paard bij de Pestalozzischool (Katherijn van Leemputdreef 8) te Utrecht. Opmerking: Naam kunstenaar: A. Spronken<ZR>Datum plaatsing: 1965<ZR>gebruikt materiaal: brons<ZR>Litteratuurgegevens: -"
"F3416F8BBB3D5578AA14D5B41514E301","Gezicht op het kunstwerk tegen de zijgevel van het Rioolgemaal Van Esveldstraat 23 te Utrecht. Opmerking: Afdruk van dia, 2000"
"F3AEE150332F5FF588E15266127AB0A8","Gezicht over het kunstwerk Het Verzonken Schip van Karin Daan op de kantoorgebouwen in de Euclideslaan te Utrecht. Opmerking: De prentbriefkaart maakt deel uit van een door het Wijkbureau Oost uitgegeven mapje met prentbriefkaarten van de verschillende buurten die onder het wijkbureau vallen: Abstede, Buiten Wittevrouwen, De uithof, Galgenwaard-Kromhoutterrein, Lodewijk Napoleonplantsoen en omgeving, Rijnsweerd, Rubenslaan en omgeving, Schildersbuurt, Sterrenwijk, Tolsteegsingel en omgeving, Watervogelbuurt en het Wilhelminapark en omgeving."
"F4595FDB5F31554AA4C4C71D18130C34","Afbeelding van een graffitikunstwerk op een relaiskast aan de spoorlijn Utrecht-Amersfoort, ter hoogte van het fietspad tussen de Lauwerecht en de Brailledreef te Utrecht."
"F52BA5A4518F5953861BDA8D01828E69","Afbeelding van de onthulling van het kunstwerk ""Het Verzonken Schip"" van Karin Daan in het kantorenpark Rijnsweerd (Euclideslaan) te Utrecht, tijdens de openingsact met het vlammenspuwende Dante-orgel van kunstenaar Erik Hobijn."
"F6E7AD3F4AF85A58BB214A127592B879","Detail van een graffitikunstwerk op een muur langs het terrein van het voormalige Expeditieknooppunt PostNL aan de Mineurslaan te Utrecht: een hand met een opgestoken middelvinger en een boze Utrechtse kabouter (KBTR)."
"F73BAC52363C5DA7918649D31CAF3D94","Gezicht op een deel van de voorgevel met het timpaan en de gebeeldhouwde vulling van het Stadhuis (Stadhuisbrug 1) te Utrecht; het kunstwerk toont van links naar rechts een halfliggende figuur met zwaard en weegschaal (Gerechtigheid), een hurkende figuur met haan (Waakzaamheid), een op een troon gezeten figuur met scepter en stadswapen (Gezag), een hurkende figuur met slang en palmtak (Voorzichtig Beleid) en een halfliggende figuur met kruis en bijbel met sleutels (Geloof), dit door de beeldhouwer P.H. d'Hont van Franse kalksteen vervaardigde kunstwerk is op 15 maart 1957 door burgemeester jhr. C.J.A. de Ranitz onthuld. Opmerking: Litt.: Jaarboekje Oud-Utrecht, 1958, t.;o. p. 150"
"F975088454135CC8BB590817BB909189","Afbeelding van het kunstwerk ""Leerstof en studerende scholieren"" bij de openbare IVO-MAVO-school Rijnsweerd (Pythagoraslaan 20) te Utrecht. Opmerking: naam kunstenaar: J. Snoeck<ZR>datum plaatsing: 1976<ZR>materiaal: geglazuurd keramisch materiaal"
"F97A97B00DE65E998E134657439C1861","Afbeelding van de onthulling van het kunstwerk ""Het Verzonken Schip"" van Karin Daan in het kantorenpark Rijnsweerd (Euclideslaan) te Utrecht, tijdens de openingsact met het vlammenspuwende Dante-orgel van kunstenaar Erik Hobijn; rechts op de brug tussen het publiek burgemeester mr. I.W. Opstelten.<ZR><ZR>N.B. De waterpartij maakt deel uit van het omgevingskunstwerk ""Het Verzonken Schip"" van Karin Daan."
"FA6B7646A9775733ACE66A1E87F71979","Afbeelding van de plastiek Compositie bij het Centraal Militair Hospitaal Dr. A. Mathijsen (Joseph Haydnlaan 2) te Utrecht, uit het zuidoosten met rechts de hoek van de bezoekerskantine; op de achtergrond een deel van het gebouw A; het kunstwerk stelt een gestileerde passer en pincet op een bol voor, symboliserend de samenwerking tussen genie en medische dienst binnen de volmaakte vorm van het hospitaal."
"FAE18A0D98425AC898A7034F8B1AFE96","Gezicht op de zijgevel van het pand Maliesingel 10 te Utrecht, bij de ingang van het Joke Smitplein, met het kunstwerk 'Rietveld', naar een ontwerp van Menno Anker en uitgevoerd door Nimeto Utrecht, in het kader van de 'Grand Départ' (de start van de Tour de France in Utrecht, juli 2015)."
"FB337B79674F5DD5A0B59D79877396BD","Afbeelding van het door Harry Op de Laak ontworpen kunstwerk bij het verpleeghuis Albert van Koningsbruggen (Beneluxlaan 924) te Utrecht."
"FBE648F893F156CCB7C0FDA66C05CD1B","Gezicht langs de Arrondissementsrechtbank (Vrouwe Justitiaplein 1) te Utrecht op het kunstwerk Between Good and Evil, the Justice Column van Nicholas Pope. Opmerking: Fotonummer: 33189."
"FC2A6B17705B57DAA1415C3C326C63B1","Afbeelding van de twee gevelstenen, met Latijnse teksten aan de voorgevel van het pand Zilverstraat 52 te Utrecht.<ZR><ZR>N.B. Boven: 'CLEMENTIA CAESARIS' een kunstwerk van Britt Nelemans, voorstellende de tempel van de Clementia Caesaris, naar een afbeelding op een munt uit 44 v.Chr.;<ZR>onder:  een natuurstenen paneel met de tekst: 'CETERUM CENSEO MONUMENTUM / WILLIBRORDI ESSE AMOVENDUM' (‘Overigens ben ik van mening dat het gedenkteken van Willibrord verwijderd moet worden’) een eigen interpretatie van van de maker van een Latijnse tekst.<ZR> Opmerking: De afbeelding maakt deel uit van de inventarisatie van straatpoëzie in Nederland en Vlaanderen; zie: www.straatpoezie.nl"
"FD1EEC554C91551B89B50BDF3089119A","Luchtfoto van het kunstwerk Het Tapijt op de Amerhof te Utrecht; op de voorgrond de Vaartsche Rijn en de Jutfaseweg, links de Roerstraat en rechts de Amstelstraat. Opmerking: naam kunstenaar: Hamid Oujaha<ZR>datum plaatsing: 1994<ZR>materiaal: baksteen in diverse kleuren<ZR>literatuur: NRC Handelsblad, 7 maart 1994. Het plein is ingericht bij een stadsvernieuwingsproject door de kunstenaar Hans van Houwelingen."
"FD221C9EDD435A1598C8759228302911","Detail van de verguld-zilveren keten van het St.-Bernulphusgilde vervaardigd in de Edelsmederij Brom (Drift 15) te Utrecht. Opmerking: De afbeelding bevindt zich in Bibl.HUA, LXIV F 49, F.W., De kunstwerkplaatsen van Brom te Utrecht, blz. 28 (overdruk van het Geïllustreerd Zondagsblad, 1910)."
"FE4E9C2AB407595B9E50BDF895136D94","Afbeelding van het loslaten van vissen in de waterpartij van het kunstwerk ""Het Verzonken Schip"" van Karin Daan in het kantorenpark Rijnsweerd (Euclideslaan) te Utrecht, tijdens de onthulling."
"FE9553D3A5F95AD5A1F665B365A12300","Afbeelding van het kunstwerk 'Aura Utrecht' op de trappen aan het Jaarbeursplein te Utrecht. Het kunstwerk is ontworpen door PolyLester (Gabriel Lester en Martine Vledder) en is in 2016 geplaatst."
"FEB23386EA0A5B75AF08DC6FA1FA4DE9","Detail van de in 1980 geplaatste bronzen plastiek ""Meeuw""  met als voetstuk een paal, op het speelplein bij de zandbak achter de kleuterschool De Meeuw (Mesdaglaan 4) te Utrecht; het kunstwerk, voorstellend een meeuw met uitgestrekte vleugels,  neerstrijkend op een hardhouten paal van de kunstenaar T. Nusink."
"FEDC3909459059F5BA19DF6C4AB2D17D","Gezicht op de voorgevel van het Krisiscentrum Utrecht (Lange Nieuwstraat 119) te Utrecht met de verlichte rebus. Opmerking: Dit kunstwerk in de lichtkunstmanifestatie Nachtregels is vervaardigd door de kunstenaar Besems."
"FFA815DABFB45A9D84CF13DD5E0DB3E5","Afbeelding van het kunstwerk UFO van Marc Ruygrok tegen het kantoorgebouw De Inktpot van ProRail (Moreelsepark 3, voormalig 3e Administratiegebouw van de Nederlandse Spoorwegen, HGB III) te Utrecht.<ZR><ZR>N.B. Het kunstwerk is gerealiseerd in het kader van de tijdelijke kunstmanifestatie Panorama 2000 en is vervolgens door de nederlandse Spoorwegen aangekocht. Opmerking: Fotonummer: 34120."
"FFA81BAEC65C56C891B49D4E9AFB7FB1","Afbeelding van het, door Fernando Sanchez Castillo in 2009 vervaardigde kunstwerk Barricade in de Beukenboslaan in het Binnenhof (Máximapark) te Utrecht."
